website on Camping.info,Name ,Website,Telephone,Fax,Street,ZIP-Code town,Country,Really Short Description,Rating (Stars),Opening period,Opening period,Dogs welcome:,Dogs allowed: Peaks Season,Dogs allowed: Off-peak season,Winter camping:,Shade on pitches:,All-year-round camping,Mini-camping at the farm:,Naturism:,Size in hectares:,Ground mainly:,Number of pitches,including tourist pitches:,delimited tourist pitches:,Separate pitches for young people/groups:,Campsite car-free:,Car permitted on pitch:,Motorhome spaces outside the entrance:,Overnight spaces outside entrance also for caravans:,Peak season:,Off-peak season (on 1st May):,Power,Water connection on pitch,Waste water connection on pitch,Gas connection on pitch,TV hook-up on pitch,Gas bottle exchange (on the site itself),Wi-Fi (WithCharge),Internet terminal (on the site itself),Safety lockers,Lounge,Drying room,Cooking facility,Dog shower,Dog lawn,Bathing facility for dogs ,Fill-up and waste disposal facilities for motor caravans,Food provision facilities (supermarkets etc) ,Bread sold on site,Snack food outlets,Restaurants ,Wheelchair ramps,Most paths paved,Central campfire,Campfire permitted on pitch,Firewood available,Charcoal grill permitted,Tables & benches for tent users,Baby changing room,Number of individual washing cubicles (),Bathroom for hire (),Wheel-chair accessible sanitary facilities,Washing machine,Tumble dryer,"Children�s play area
",Indoor play facilities,Petting zoo,Children�s entertainment,"Swimming in natural water (sea, lake etc) 
",Sandy beach (on the site itself),Obstacle-free access to water,Nudist beach ,Pool / open air pool ,Water slide,Indoor pool ,Thermal baths ,Sauna ,Tennis,Table tennis,Volleyball,Minigolf,Golf,Sailing & surfing opportunities,Boat hire,Slipway ,Bike hire,Riding,Angling,Diving station,Ski lift ,Cross-country skiing,Tents,Chalets,Caravans,Mobile homes or holiday homes,Apartments or rooms,Dogs allowed in rental accommodation,,
"https://en.camping.info/austria/salzburg/sportcamp-woferlgut-19417
",Sportcamp Woferlgut,http://www.sportcamp.at,+43 6545 7303 0,Fax: +43/(0)6545/7303-3,Kroessenbachstr. 40,5671 Bruck/Grossglockner,Austria,"Centraly located in the Nationalpark ""Hohe Tauern"" and the European Sport Region","4,55",01.01. - 31.12.,NA/-,Yes,Yes,Yes,Yes,Shade on half the site,Yes,No,No,17,grass,350,220,220,Yes,No,Yes,No,No,38.30 €,30.40 €,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,
"https://en.camping.info/france/provence-alpes-c%c3%b4te-d-azur/camp-du-domaine-13015
",Camp Du Domaine,http://www.campdudomaine.com/de,+33 494 710 312,no info,La favière,83230 Bormes Les Mimosas,France,Der beste Campingplatz an der Côte d’Azur !,"3,90",09.04. - 06.11.,NA/-,no information,No,Yes,no information,No information,no information,no information,no information,45,No information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,yes,no information,no information,no information,no information,no information,yes,yes,no information,no information,no information,no information,no information,no information,no information,yes,yes,no information,yes,yes,no information,no information,no information,no information,no information,no information,no information,yes,no information,no information,no information,yes,yes,yes,no information,no information,yes,yes,no information,no information,no information,no information,no information,no information,no information,no information,yes,yes,no information,yes,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no,no information,no,yes,no,no information
"https://en.camping.info/netherlands/overijssel/camping-de-kleine-wolf-14572
",Camping De Kleine Wolf,http://www.kleinewolf.nl,+31 529 457 203,no info,Coevorderweg 25,7737 PE Ommen/Stegeren,Netherlands,"Gelegen in het Overijsselse Vechtdal, dichtbij de vakantieplaatsjes Ommen en Har","4,79",04.04. - 31.10.,NA/-,Yes,Yes,Yes,No,No information,Yes,no information,No,26,grass,600,450,450,No,No,Yes,No,No,41 €,no information,no information,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,no information,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,yes,yes,no information,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no information,yes,yes,yes,yes,yes,no information,yes,no information,yes,yes,no information,no,no,no,no,yes,yes,yes,no,no,
"https://en.camping.info/france/languedoc-roussillon/les-m%c3%a9diterran%c3%a9es-camping-beach-garden-24286
",Les Méditerranées - Camping Beach Garden,http://de.lesmediterranees.com/,no info,no info,,34340 Marseillan-Plage,France,Beach Garden : Natur live erleben am Mittelmeer,"3,38",01.03. - 30.10.,NA/-,no information,Yes,Yes,No,Mostly shaded,No,No,No,no information,No information,no information,no information,no information,no information,no information,no information,No,no information,55 €,35 €,yes,yes,yes,no information,no information,no information,yes,no information,no information,yes,no information,no information,no information,no information,no information,yes,yes,yes,yes,yes,no information,no information,no information,no information,no information,no information,yes,yes,no information,no information,yes,no information,no information,yes,no information,no information,no information,yes,yes,no information,no information,yes,no information,yes,no information,yes,no information,yes,no information,no information,no information,no information,no information,no information,yes,no information,no information,no information,no,no,no information,no information,no information,no information,no information,no information,,
"https://en.camping.info/france/aquitaine/yelloh-village-sylvamar-4681
",Yelloh! Village Sylvamar,http://www.camping-sylvamar.com/de/,no info,no info,,40530 Labenne,France,Willkommen auf dem Yelloh! Village Le Sylvamar,"4,00",no information,no information,no information,no information,No information,no information,no information,no information,no information,No information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,yes,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no,no information,no,no,no,no information,,
"https://en.camping.info/netherlands/limburg/camping-beringerzand-15425
",Camping Beringerzand,http://www.beringerzand.nl,+31 773 072 095,Fax: +31.77.3074980,Heide 5,5981 NX Panningen,Netherlands,Camping in Limburg for both families and elders,"4,22",31.03. - 31.10.,NA/-,no information,Yes,Yes,Yes,Shade on half the site,Yes,No,No,21,No information,500,375,no information,No,Yes,Yes,No,No,36.75 €,no information,no information,yes,yes,yes,no information,yes,yes,yes,yes,no,no,yes,no information,no information,no information,no information,yes,yes,yes,yes,yes,yes,yes,no,no information,no information,yes,no information,yes,yes,no information,yes,yes,yes,yes,yes,no,yes,no,no,no information,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,yes,yes,no,
"https://en.camping.info/netherlands/overijssel/camping-de-roos-16032
",Camping De Roos,http://www.campingderoos.nl,+31 523 251 234,Fax: 0523-250958,Beerzerweg 10,7736 PJ Ommen,Netherlands,"a unique, spacious campsite set in a region of outstanding natural beauty","4,25",15.04. - 02.10.,NA/-,No,No,No,No,No information,No,No,No,25,No information,290,270,no information,No,no information,no information,no information,no information,25.30 €,no information,no information,yes,no,yes,no,no,yes,yes,yes,no,yes,no,no,no information,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,no information,no,yes,yes,yes,yes,no,yes,yes,yes,no information,no,yes,no,yes,no information,yes,yes,yes,yes,yes,yes,no information,no information,no information,yes,yes,yes,no information,no information,no information,yes,no,no,yes,no,no,
"https://en.camping.info/denmark/north-jutland/skiveren-camping-1713
",Skiveren Camping,http://www.skiveren.dk,no info,no info,Niels Skiverensvej 5-7,9982 Ålbæk,Denmark,"South of Skagen, direct by the North Sea and in the midst of beautiful Nature.","4,69",23.03. - 30.09.,NA/-,Yes,Yes,Yes,No,Shade on half the site,No,No,No,"18,4",grass,595,496,441,No,No,Yes,Yes,Yes,48.57 €,34.28 €,yes,yes,yes,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,,
"https://en.camping.info/rumania/rumania-east/camping-cheile-rasnoavei-26388
",Camping Cheile Rasnoavei,http://www.pensiuneacheilerasnoavei.ro,+40 740 159 541,no info,Extravilan Cheia,505400 Rasnov,Rumania,Ideal for relaxation in nature and sightseeing!,"4,62",01.05. - 30.09.,NA/-,Yes,Yes,Yes,No,Little shade,No,No,No,3,grass,100,50,50,no information,No,Yes,Yes,Yes,18 €,no information,no information,yes,no information,no,no,no,no information,yes,no information,no information,yes,yes,yes,no,yes,yes,no information,yes,yes,no information,yes,no,yes,no information,no,no,yes,yes,no,yes,no information,no,yes,yes,yes,no information,no information,no,yes,yes,yes,no,yes,yes,yes,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,yes,yes,no information,no information,no information,no information,no,no,no,no,yes,no,
"https://en.camping.info/switzerland/espace-berne/camping-jungfrau-lauterbrunnen-17233
",Camping Jungfrau Lauterbrunnen,http://www.campingjungfrau.swiss,+41 33 856 20 10,Fax: +41 0 33 856 20 20,Weid 406,3822 Lauterbrunnen,Switzerland,"All year, at the foot of Eiger, Jungfrau, Schilthorn and Staubbach Waterfall !","4,24",01.04. - 31.10.,NA/-,Yes,Yes,Yes,Yes,Shade on half the site,Yes,No,No,"4,5",grass,270,200,60,no information,no information,Yes,no information,no information,51.70 €,45.50 €,yes,no information,no information,no information,no information,no information,yes,yes,no information,no information,no information,no information,no information,no information,no information,yes,yes,no information,yes,yes,no information,no information,no information,no information,no information,no information,no information,yes,yes,no information,yes,yes,yes,yes,no information,no information,no,yes,no information,no information,no information,yes,no information,no information,no information,no information,yes,yes,no information,yes,yes,yes,no information,no information,yes,no information,no information,no information,yes,yes,no,no information,yes,yes,yes,no information,,
"https://en.camping.info/czech-republic/prague-and-central-bohemian-region/camping-praha-klanovice-prague-praag-prag-23168
",Camping Praha Klanovice - Prague Praag Prag,http://www.campingpraha.cz,+420 774 553 542,Fax: 00420281960300,Slechtitelska 1020,19014 Praha 9 - Klánovice,Czech Republic,"Camping Prague Klanovice**** is well maintained campsite, with modern facilities","4,40",15.04. - 16.09.,NA/-,Yes,Yes,No,No,Little shade,No,No,No,2,grass,50,50,50,No,No,Yes,No,No,31 €,26 €,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,yes,yes,no information,yes,yes,yes,yes,yes,no,yes,no,no information,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,no information,no information,no,no information,yes,no information,yes,yes,no,yes,,
"https://en.camping.info/denmark/north-jutland/r%c3%a5bjerg-mile-camping-1617
",Råbjerg Mile Camping,http://www.raabjergmilecamping.dk,+45 98487500,no info,Kandestedvej 55,9990 Skagen,Denmark,Ferie på toppen og sand mellem tæerne,"4,83",20.03. - 30.09.,NA/-,Yes,Yes,Yes,No,Little shade,No,No,No,20,grass,446,300,300,No,No,Yes,No,No,36 €,no information,no information,yes,no,no,no,no,yes,yes,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,no information,no information,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,yes,
"https://en.camping.info/germany/lower-saxony/campingplatz-auf-dem-simpel-18419
","Campingplatz ""Auf dem Simpel""",http://www.auf-dem-simpel.de/,+49 5191 3651,no info,Auf dem Simpel 1,29614 Soltau-Wolterdingen,Germany,Situated in the heart of the Lüneburger Heath and 800 m away from the Heide Park,"4,78",01.01. - 31.12.,NA/-,Yes,Yes,Yes,Yes,Shade on half the site,Yes,No,No,9,paved,250,140,110,Yes,No,Yes,Yes,Yes,31.20 €,24.50 €,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no,,
"https://en.camping.info/austria/carinthia/camping-brunner-am-see-19333
",Camping Brunner am See,http://www.camping-brunner.at,+43 4246 7189,Fax: +43.4246/7189-14,Glanzerstraße 108,9873 Döbriach,Austria,"Unique position directly at the shores of Lake Millstätter See, top ratings","4,74",01.01. - 31.12.,NA/-,Yes,Yes,Yes,Yes,No information,No,no information,No,"3,5",No information,211,211,211,No,No,Yes,No,No,41.90 €,26.20 €,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,no,yes,no information,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no information,yes,yes,yes,yes,no information,yes,no information,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no information,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,no,,
"https://en.camping.info/netherlands/overijssel/camping-de-kleine-wolf-14572
",Camping De Kleine Wolf,http://www.kleinewolf.nl,+31 529 457 203,no info,Coevorderweg 25,7737 PE Ommen/Stegeren,Netherlands,"Gelegen in het Overijsselse Vechtdal, dichtbij de vakantieplaatsjes Ommen en Har","4,79",04.04. - 31.10.,NA/-,Yes,Yes,Yes,No,No information,Yes,no information,No,26,grass,600,450,450,No,No,Yes,No,No,41 €,no information,no information,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,no information,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,yes,yes,no information,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no information,yes,yes,yes,yes,yes,no information,yes,no information,yes,yes,no information,no,no,no,no,yes,yes,yes,no,no,
"https://en.camping.info/france/languedoc-roussillon/les-m%c3%a9diterran%c3%a9es-camping-beach-garden-24286
",Les Méditerranées - Camping Beach Garden,http://de.lesmediterranees.com/,no info,no info,,34340 Marseillan-Plage,France,Beach Garden : Natur live erleben am Mittelmeer,"3,38",01.03. - 30.10.,NA/-,no information,Yes,Yes,No,Mostly shaded,No,No,No,no information,No information,no information,no information,no information,no information,no information,no information,No,no information,55 €,35 €,yes,yes,yes,no information,no information,no information,yes,no information,no information,yes,no information,no information,no information,no information,no information,yes,yes,yes,yes,yes,no information,no information,no information,no information,no information,no information,yes,yes,no information,no information,yes,no information,no information,yes,no information,no information,no information,yes,yes,no information,no information,yes,no information,yes,no information,yes,no information,yes,no information,no information,no information,no information,no information,no information,yes,no information,no information,no information,no,no,no information,no information,no information,no information,no information,no information,,
"https://en.camping.info/france/aquitaine/yelloh-village-sylvamar-4681
",Yelloh! Village Sylvamar,http://www.camping-sylvamar.com/de/,no info,no info,,40530 Labenne,France,Willkommen auf dem Yelloh! Village Le Sylvamar,"4,00",no information,no information,no information,no information,No information,no information,no information,no information,no information,No information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,yes,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no,no information,no,no,no,no information,,
"https://en.camping.info/netherlands/limburg/camping-beringerzand-15425
",Camping Beringerzand,http://www.beringerzand.nl,+31 773 072 095,Fax: +31.77.3074980,Heide 5,5981 NX Panningen,Netherlands,Camping in Limburg for both families and elders,"4,22",31.03. - 31.10.,NA/-,no information,Yes,Yes,Yes,Shade on half the site,Yes,No,No,21,No information,500,375,no information,No,Yes,Yes,No,No,36.75 €,no information,no information,yes,yes,yes,no information,yes,yes,yes,yes,no,no,yes,no information,no information,no information,no information,yes,yes,yes,yes,yes,yes,yes,no,no information,no information,yes,no information,yes,yes,no information,yes,yes,yes,yes,yes,no,yes,no,no,no information,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,yes,yes,no,
"https://en.camping.info/netherlands/overijssel/camping-de-roos-16032
",Camping De Roos,http://www.campingderoos.nl,+31 523 251 234,Fax: 0523-250958,Beerzerweg 10,7736 PJ Ommen,Netherlands,"a unique, spacious campsite set in a region of outstanding natural beauty","4,25",15.04. - 02.10.,NA/-,No,No,No,No,No information,No,No,No,25,No information,290,270,no information,No,no information,no information,no information,no information,25.30 €,no information,no information,yes,no,yes,no,no,yes,yes,yes,no,yes,no,no,no information,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,no information,no,yes,yes,yes,yes,no,yes,yes,yes,no information,no,yes,no,yes,no information,yes,yes,yes,yes,yes,yes,no information,no information,no information,yes,yes,yes,no information,no information,no information,yes,no,no,yes,no,no,
